instance_id,x_m,y_m,diameter_m,size_class,material_type,source_type,crater_zone,analysis_crater_zone,dominant_crater_index,normalized_crater_radius,analysis_normalized_crater_radius,distance_to_dominant_crater_center_m,local_slope_deg,local_density_per_m2,acceptance_probability,clump_id,mesh_name,source_file,source_files,world_x_cm,world_y_cm,world_z_cm
21,249.52810351889704,59.271057977452934,0.32535473978876256,Medium,MixedBreccia,crater_ejecta_single,ProximalEjecta,ProximalEjecta,16,1.2840779304961811,1.2840779304961811,44.65883335243067,2.4706968779534213,0.002,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
22,181.72201408301058,42.12375166963699,0.27435592355857513,Small,MixedBreccia,crater_ejecta_single,ProximalEjecta,ProximalEjecta,16,1.2000681405659372,1.2000681405659372,41.73706426087893,2.576688745455041,0.002,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
23,132.58310668749752,-0.6076593871646736,0.2718790840834753,Small,MixedBreccia,crater_ejecta_single,DistalEjecta,DistalEjecta,16,2.6271900492463205,2.6271900492463205,91.37081154343888,1.0679169335159595,0.002,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
24,188.61347511228763,40.75086751840187,0.2704022894520434,Small,MixedBreccia,crater_ejecta_single,Rim,Rim,16,1.0032494375164744,1.0032494375164744,34.89192390656176,6.407501601095757,0.002,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
25,195.93789051952567,56.30285854043403,0.32156293776930084,Medium,MixedBreccia,crater_ejecta_single,Rim,Rim,16,1.121127107828428,1.121127107828428,38.99158102970858,6.407501601095757,0.002,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
26,189.31509394680455,21.47162830830782,0.2676129791038247,Small,MixedBreccia,crater_ejecta_single,Rim,Rim,16,0.8930807874242992,0.8930807874242992,31.06037811928423,6.407501601095757,0.002,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
27,213.06872248168312,66.83050572785716,0.2683260864242645,Small,MixedBreccia,crater_ejecta_single,ProximalEjecta,ProximalEjecta,16,1.2000007095070468,1.2000007095070468,41.734719082015374,2.5767756213448347,0.002,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
28,189.5411174373029,16.41415529703135,0.26864388750048895,Small,MixedBreccia,crater_ejecta_single,Rim,Rim,16,0.9179102269272745,0.9179102269272745,31.92391901089439,6.407501601095757,0.002,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
29,181.28012973897694,13.653118717226027,0.2710984123607613,Small,MixedBreccia,crater_ejecta_single,Rim,Rim,16,1.168278865228522,1.168278865228522,40.63146785121274,6.407501601095757,0.002,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
30,187.20062513816552,9.423207367469985,0.36948566570304797,Medium,MixedBreccia,crater_ejecta_single,Rim,Rim,16,1.0549562372454035,1.0549562372454035,36.690230144400026,6.407501601095757,0.002,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
31,211.57918825490745,-5.23311361126208,0.26907421911365215,Small,MixedBreccia,crater_ejecta_single,Rim,Rim,16,0.9221835373721387,0.9221835373721387,32.07254009882685,6.407501601095757,0.002,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
32,189.61457344908644,54.85514246946,0.2649658194650072,Small,MixedBreccia,crater_ejecta_single,ProximalEjecta,ProximalEjecta,16,1.212820143095097,1.212820143095097,42.180565034729504,2.5603120391862153,0.002,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
33,177.84875024626447,25.38650609185642,0.2628515922086068,Small,MixedBreccia,crater_ejecta_single,ProximalEjecta,ProximalEjecta,16,1.2145289332526614,1.2145289332526614,42.23999489725465,2.5581254554160093,0.002,1.0,-1,,unreal_rockfield.json,unreal_rockfield.json,nan,nan,nan
